title,authors,doi,year,abstract,Normalized Title,Normalized Authors
2nd south american conference on industrial engineering and operations management  ieom 2021,,,2021,the proceedings contain 457 papers  the special focus in this conference is on industrial engineering and operations management  the topics include  simulation improves service and resource allocation at an automotive garage  a study about the level of lean usage in plastic industry  assessment of transportation management system implementation  sustainability best practices for oil and gas sector in mexico  the application of decision tree regression to optimize business processes  the application of decision tree regression to optimize business processes  operational excellence proposal model on logistics management  a case study in an automotive industry  planning support tool for torobayo beer production using system dynamics  measuring the performance of sustainable supply chain management in the food industry  strategic decision making in the management of the sustainable supply chain  identification and analysis of the characteristics of voluntary sustainability standards in the international market of agro industrial goods  sustainability reports and supply chain management in agroindustry  a review of the scientific literature  microfinancing for informal enterprises  perspectives in colombia  green technologies and their effects on agribusiness performance in mexico  the high schools in colombia and the creation of a convenient environment for organizational change  financial education from school age   analysis in small municipalities in colombia  the escalation of commitment  an empirical case in colombia  the poker game to teaching statistics  impact of artificial intelligence in south african construction project management industry  generation of voltage by means of microbial fuel cells using the bacteriae actinomycetes  bacillus sp and escherichia coli  industry 4 0  technologies and applications ,2nd south american conference on industrial engineering and operations management ieom 2021,
digital assets for project based studies and project management,Miller G.J.,10.1007/978-3-030-71846-6_1,2021,this research provides a literature survey of digital assets available through a project  specifically  it identifies sources of data that can be used for practicing data driven  context specific project management  or for project based academic research  projects are key vehicles for economic and social action  and they are also a primary source of innovation  research  and organizational change  the project boundaries of time  tasks  and people define a rich environment for collecting behavioral and attitudinal data for learning opportunities and academic research  based on a systematic literature review of the top four project management journals  this research identifies four categories of data sources   communications  reports records  model representations  and computer systems   and 52 digital assets  the list of digital assets can be inputs for the creation of project artifacts as well as sources for monitoring and controlling project activities and for sense making in retrospectives or lessons learned  in an illustrative case  this research uses three of the digital assets  social network analysis  and topic modeling to analyze the verbal and written communications between project participants  the classification model and categorization are useful for decision support and artificial intelligence systems model development that requires real world data    2021  springer nature switzerland ag ,digital assets for projectbased studies and project management,gjmiller
10th international conference of production research   americas  icpr americas 2020,,,2021,the proceedings contain 52 papers  the special focus in this conference is on production research  the topics include  project management process resilience  assessing and improving the project review process using fram  proposal for a biorefinery in a cuban sugar industry taking advantage the biomass  evaluation of the economic and volumetric performance of strategic planning in a forest plantation in the north of misiones province  argentina  process mining and value stream mapping  an incremental approach  minimizing total implementation cost of a 2 d indoor localization system with a constant accuracy for underground mine tunnels  an integrated approach for solving the bucking and routing problems in the forest industry  an operational planning model to support first mile logistics for small fresh produce growers  impact of labor productivity and multiskilling on staff management  a retail industry case  modelling the dynamics of a digital twin  design of a nanostores  delivery service network for food supplying in covid 19 times  a linear optimization approach  a simulation optimization approach for the household energy planning problem considering uncertainty in users preferences  production capacity study in footwear production systems based on simulation  a database curation for prediction of the refractive index in the virtual testing of polymeric materials by using machine learning  the time lagged effect problem on  un truthful data  a case study on covid 19 outbreak  robust data reconciliation applied to steady state model with uncertainty  a decision support tool for the location routing problem during the covid 19 outbreak in colombia  simulated annealing metaheuristic approach for generating alternative corridor locations ,10th international conference of production research  americas icpramericas 2020,
deep learning in the construction industry  a review of present status and future innovations,Akinosho T.D.; Oyedele L.O.; Bilal M.; Ajayi A.O.; Delgado M.D.; Akinade O.O.; Ahmed A.A.,10.1016/j.jobe.2020.101827,2020,the construction industry is known to be overwhelmed with resource planning  risk management and logistic challenges which often result in design defects  project delivery delays  cost overruns and contractual disputes  these challenges have instigated research in the application of advanced machine learning algorithms such as deep learning to help with diagnostic and prescriptive analysis of causes and preventive measures  however  the publicity created by tech firms like google  facebook and amazon about artificial intelligence and applications to unstructured data is not the end of the field  there abound many applications of deep learning  particularly within the construction sector in areas such as site planning and management  health and safety and construction cost prediction  which are yet to be explored  the overall aim of this article was to review existing studies that have applied deep learning to prevalent construction challenges like structural health monitoring  construction site safety  building occupancy modelling and energy demand prediction  to the best of our knowledge  there is currently no extensive survey of the applications of deep learning techniques within the construction industry  this review would inspire future research into how best to apply image processing  computer vision  natural language processing techniques of deep learning to numerous challenges in the industry  limitations of deep learning such as the black box challenge  ethics and gdpr  cybersecurity and cost  that can be expected by construction researchers and practitioners when adopting some of these techniques were also discussed    2020 the author s ,deep learning in the construction industry a review of present status and future innovations,aaahmedajayiakinadeakinoshoaobilaldelgadolommdoooyedeletd
agile project management based on data analysis for information management systems,Haidabrus B.; Grabis J.; Protsenko S.,10.1007/978-3-030-77719-7_18,2021,nowadays  many projects and product managers  industry  and portfolio leads understand that data from the project or portfolio can be valuable for increasing their activities  there are many different types of project and portfolio lifecycle processes of managers daily duties  pre sales and sales  mobilization  delivery  and closure phases  definitely  in research  we focus on the processes  staffing  governance  and reporting activities  the day by day tasks are quite regulated and clearly described using templates and techniques as a company standard  our literature review shows that data science methods can increase the level of project management and project success in several business problems  this study gives new opportunities to improve project management evaluation and results for managers  industry  and delivery leads  the proposed approach allows doing a project  portfolio management  and agile development more accurately  considering best practices and project performance data  moreover  our results can provide more efficient benefits for different internal and external stakeholders    2021  the author s  under exclusive license to springer nature switzerland ag ,agile project management based on data analysis for information management systems,bgrabishaidabrusjprotsenkos
design of an expert system for decision making in complex regulatory and technology implementation projects,Bhattacharya K.; Gangopadhyay S.; DeBrule C.,10.1007/978-981-16-0084-5_50,2021,project planning is a critical event for overall success of a project  project planning in business technology projects is a multidisciplinary activity  many times  project planning overlooks interdependencies and fails to utilize the historical knowledge and best practices  resulting in re work  to address this gap  an ai expert system was designed that can facilitate flawless intake and planning  this system ensures work  starts right  by enforcing the entry criteria and allows tailoring of the project plan based on project type and complexity  this technology system is built using a rules based design engine and optimized search algorithm that covers multiple domains like software engineering  regulations and risk management  and computer system validation  this system aligns very closely with the software development best practices of industry standards such as cmmi and gamp  this system also seamlessly interfaces with project management systems to enable stage gate reviews and track project outcomes at the later stages of execution and project close out    2021  the author s  under exclusive license to springer nature singapore pte ltd ,design of an expert system for decision making in complex regulatory and technology implementation projects,bhattacharyacdebrulegangopadhyayks
2020 ieee international conference for innovation in technology  inocon 2020,,,2020,the proceedings contain 258 papers  the topics discussed include  implementation of machine learning algorithms to detect the prognosis rate of kidney disease  natural language processing on diverse data layers through microservice architecture  vehicle detection using image processing  increasing accuracy of software defect prediction using 1 dimensional cnn with svm  plc and scada based industrial automated system  a steganographic analysis using batch steganography  augmentation based convolutional neural network for recognition of handwritten gujarati characters  an efficient algorithm in project management for resource scheduling and conflict management using graph coloring technique  a comprehensive study of artificial intelligence based medical diagnosis  stationary wavelet transform based electronic tongue for predicting taste masking of pharmaceutical samples  and a systematized security and communication protocols stack review for internet of things ,2020 ieee international conference for innovation in technology inocon 2020,
centeris 2020   international conference on enterprise information systems   projman 2020   international conference on project management   hcist 2020   international conference on health and social care information systems and technologies 2020  centeris projman hcist 2020,,,2021,the proceedings contain 152 papers  the topics discussed include  using a systematic literature review to build a framework for university industry linkages using open innovation  a mobile application to enhance mobility of people with permanent or temporary mobility disability   a case study in portugal  social networks in personnel selection  profile features analyzed and issues faced by hiring professionals  robotic process automation and artificial intelligence in industry 4 0   a literature review  the role of employees  information security awareness on the intention to resist social engineering  economic impact of occurrences on railways  identification of innovative technologies for store based retailing   an evaluation of the status quo and of future retail practices  the business model innovation and lean startup process supporting startup sustainability  and knowing me knowing you  understanding user involvement in the design process ,centeris 2020  international conference on enterprise information systems  projman 2020  international conference on project management  hcist 2020  international conference on health and social care information systems and technologies 2020 centerisprojmanhcist 2020,
review of recent advances in petroleum fluid properties and their representation,Dindoruk B.; Ratnakar R.R.; He J.,10.1016/j.jngse.2020.103541,2020,it is well known that petroleum fluid properties  also known as pressure temperature volume  pvt  is needed for many petroleum engineering and other interdisciplinary engineering applications  especially in recent years  multi disciplinary acquisition of such data and its use became more and more important as seamless and efficient integration became a necessity  fluid properties for every step of the value chain are extremely important for project evaluation  safety and decision making along with geological and geophysical information  one of the key points about the reservoir fluids is that once the fluids enter the wellbore  all the geologic complexities and rocks will be left behind  therefore  the focus will be more on fluid compositions and properties and how they are linked and behave within the source  reservoir  to create the maximum value  during this process  fluids are the only desired subsurface elements  with an attached commercial unit pricing  that change hands from one discipline to another discipline  parallel to this fluids fluid properties are evaluated for relevant applications and also used in different software applications while they move from reservoir to the wellbore and facilities and all the way to the refineries then to the sales  therefore  there is always special focus in terms of capturing their needed properties for various applications  along the way  we face various needs and challenges  such needs span a wide spectrum of applications  from property valuations  health safety and environment  and all the way from reservoir to well and facilities performance de risking and management  in this study  we focus on current state of the art in this area and what the current and forward looking advancements are while highlighting various elements of the progress  in addition  lifecycle management of the fluids and the associated information extracted with modern techniques will be included in this study  particular attention was given to new developments in terms of hardware  sensors and miniaturization  along with numerical techniques in terms of new coupled physics and as well as data analytics  molecular simulation  and advanced computational methods    2020 elsevier b v ,review of recent advances in petroleum fluid properties and their representation,bdindorukhejratnakarrr
critical success factors for modular integrated construction projects  a review,Wuni I.Y.; Shen G.Q.,10.1080/09613218.2019.1669009,2020,modular integrated construction  mic  is an innovative construction approach which transforms the fragmented linear site based construction of buildings into an integrated production and assembly of value added prefabricated prefinished modules  as mic has gained attention in the construction industry  more in depth knowledge of the critical success factors  csfs  for implementing mic projects is imperative  this research reviewed studies on the csfs for implementing mic projects during the period 1993 2019  analysis showed that the us  uk  malaysia  australia  and hong kong are the largest contributors to the mic csfs studies  further analysis generated 35 csfs for implementing mic projects  of these  the six most cited csfs shared between countries and mic projects include good working collaboration and effective communication among project participants  effective supply chain management  accurate design and early design freeze  involvement of key project participants throughout the project  suitable procurement strategy and contracting  and standardization   benchmarking of best practices  these shared csfs can be used to develop decision support systems  enabling the prediction of project success  the developed checklists and conceptual model of the csfs could help to guide and improve the successful implementation of mic projects and may form a useful basis for future empirical studies    2019 informa uk limited  trading as taylor   francis group ,critical success factors for modular integrated construction projects a review,gqiyshenwuni
26th international conference on information and software technologies  icist 2020,,,2020,the proceedings contain 30 papers  the special focus in this conference is on information and software technologies  the topics include  genetic optimization approach to construct schedule for service staff  sigma key agreement protocol for e banking system  table header correction algorithm based on heuristics for improving spreadsheet data extraction  a review of self balancing robot reinforcement learning algorithms  exploring web service qos estimation for web service composition  random forests and homogeneous granulation  orchestration security challenges in the fog computing  a novel edge detection operator for identifying buildings in augmented reality applications  military vehicle recognition with different image machine learning techniques  a novel model driven framework for image enhancement and object recognition  run time class generation  algorithm for decomposition of homogeneous classes  twitter based classification for personal and non personal heart disease claims  escape the lab  chemical experiments in virtual reality  the voil digital transformation competence framework  evaluation and design of higher education curricula  gamified evaluation in game based learning  hyperparameter tuning using automated methods to improve models for predicting student success  a case study of applying gamification in teaching project management  design of the platform solutions to increase the employability and e learning opportunities for low skilled women  cross lingual metaphor paraphrase detection   experimental corpus and baselines  deep learning based part of speech tagging of the tigrinya language  knowledge based generation of the uml dynamic models from the enterprise model illustrated by the ticket buying process example  tag me if you can  insights into the challenges of supporting unrestricted p2p news tagging ,26th international conference on information and software technologies icist 2020,
a systematic review on software project scheduling and task assignment approaches,Fatima T.; Azam F.; Anwar M.W.; Rasheed Y.,10.1145/3404555.3404588,2020,software project scheduling and task assignment are important integral aspects of software project management and contributes to the overall success of software projects  key objective of task scheduling assignment is to minimize the cost and time of the project  this article i e  a systematic literature review  is in fact the first of its kind  conducted in the context of task scheduling and assignment in software industry  this study specifically elaborates the models used in task assignment and summarizes the techniques machine learning algorithms to solve the software project scheduling problem  spsp  our initial search brought out 1100 research articles  however  after applying the inclusion and exclusion criteria  23 most relevant researches were segregated and thereafter thoroughly reviewed  the review revealed that there are 2 types of basic models of task scheduling i e  static and dynamic  however  static models are most widely used  for task scheduling  evolutionary algorithms  whereas  for task assignment  support vector machine  svm  algorithms are most widely used  due to lack of real world data in software projects  most of the researches utilized synthetic data sets for task assignment  exploring the task assignment tools during the course of review process  7 tools were identified  however  tamri has been graded as most efficient     2020 acm ,a systematic review on software project scheduling and task assignment approaches,anwarazamffatimamwrasheedty
the machine learning in project management  a systematic mapping study,Chennouk H.; El Bhiri B.; Bara S.; Ziyati E.H.,,2020,machine learning  ml  is a trending research topic that affects a wide variety of disciplines including project management  pm  to provide clear insight of the use of machine learning in project management  identify gaps in current works and help researchers choose best options for their works  we conducted a systematic mapping study review  sms  following the guidelines presented by petersen et al   1  we investigated studies reported from 2010 to 2019  137 articles have been analyzed resulting in 33 primary studies  we found that ml is more involved in management of software project  especially  in effort estimation  we also found that a large range of ml techniques have been investigated  and neural network is by far the most widely used  we believe the results will be useful to understand the state of art of the use of ml in pm  and shed light on research topics that have not yet been explored    2005   ongoing jatit   lls,the machine learning in project management a systematic mapping study,bbarabhirichennoukehelhsziyati
proposed risk management decision support methodology for oil and gas construction projects,Al Mhdawi M.K.,10.1007/978-981-15-1910-9_34,2020,oil and gas construction projects are complex and risky due to their dynamic nature and environment  as they involve a considerable number of stakeholders  the contracting companies in iraq find many challenges when managing the risky events in an environment that categorized with poor supplies  security threats  unskilled workforce and logistics difficulties  evidence in the literature indicates that there is a lack of unified methodology for project management and especially for risk management in iraq  also  the rise in the global energy demand increases the need for a workable  effective and efficient risk management methodology for such projects  thus  the purpose of this research is to develop an integrated decision support methodology for managing the risk factors in oil and gas construction projects in iraq  the proposed methodology has been developed to support the local and international contracting companies working in iraqi oil and gas fields when making decisions regarding the risk factors during the project life cycle  the proposed methodology consists of the following phases  risk planning  risk identification using documentation review and expert interviews  risk analysis using a multi criteria risk analysis model based on fuzzy set theory  risk effect prediction on project time and cost using artificial neural network  ann  selection of risk response actions using gravitational search algorithm  gsa  optimization technique and finally  designing an integrated web based risk management decision support platform  the adopted methodology will enable decision makers to assess the oil and gas projects risky events  support their decision during planning and work implementation stages  gain experience in risk management through exercising and implementing risk management on scientific and documented bases  organize and document the knowledge based information for decision makers    2020  springer nature singapore pte ltd ,proposed risk management decision support methodology for oil and gas construction projects,almhdawimk
a multidimensional approach of evaluating developers,Zhang C.; Chen M.,10.1145/3404512.3404520,2020,in this paper  we propose an approach to assess the ability of developers based on their behavior data from oss  specifically  we classify developers  ability into code ability  project management ability  and social ability  code efficiency is related to the developer s commit record and the pull request record  the developer s project management ability is achieved by tracking the developer s commit record  we use regular matching to map the commit behavior to the project management behavior and calculate the developer s project management ability according to the proportion of different behaviors  the social ability of developers is related to the data that developers interact with in the open source community  we dug for developer reviews on commit  issue  and gist fragments  by calculating the proportion of positive emotions in developer reviews and the proportion of developers interacting with others in the reviews  the social ability of developers is obtained  we get behavioral data from 50 random developers  twitter s data is used to test the effect of different machine learning algorithms on the accuracy of developer comment polarity judgments  it is found that the combination of svm  xgboost and random forest have the highest prediction accuracy  finally  we select 5 students to use likert scale to score the results  our score shows that the results are basically in line with expectations    2020 acm ,a multidimensional approach of evaluating developers,cchenmzhang
knowledge management systems for structural engineering design in the era of emerging technological advancements,Ghannoum C.; Mabsout M.; Abdul-Malak M.-A.,,2020,as construction projects become larger  more complex  and fast paced  the role of knowledge management  km  is fast growing in engineering firms  which are characterized as knowledge intensive by nature  to remain competitive and ensure project success  engineers are seeking new tools and methods to capture both explicit and implicit knowledge that can then be retrieved in a timely and efficient way  this paper aims to discuss knowledge management systems  kms  as related to structural engineers  in the context of large  international  and multi disciplinary engineering firms  the methodology used consists of a review of literature to identify the macro  meso  and micro level factors influencing the development of structural engineering kms  the various strategies and steps related to the development of the kms are then discussed  the challenges of implementing such systems are further examined in light of emerging technologies and of the complex interrelations between the different entities of large international firms  the case of a top twenty global engineering design group is presented  furthermore  it is argued that firms often limit kms to their technological aspects undermining the need for a detailed and structured framework to guide the kms initiative  technological advancements such as knowledge discovery in databases  data analytics  artificial intelligence  platforms  and web 2 0 technologies should be rather viewed as useful tools to render the km experience faster and more user friendly  they do not replace the need to elaborate a reliable framework based on the specific needs of structural engineers  and which can act as the backbone of kms  firms should also adopt strategies to promote a learning organization culture and empower engineers to become actively engaged in the kms experience  thus ensuring an optimum retention of knowledge within their organizations    2020 american society of civil engineers ,knowledge management systems for structural engineering design in the era of emerging technological advancements,abdulmalakcghannoummmamabsout
cross fertilization in software engineering,Colomo-Palacios R.,10.1007/978-3-030-56441-4_1,2020,software engineering is related to a set of disciplines both inside and outside computing  one of the aspects to consider in the development of a discipline is cross fertilization  in this paper  author reviews the cross fertilization produced by related disciplines in software engineering  the influences come from computer engineering and computer science inside computing outside this field quality and project management  naming just a few of them  more in particular by focusing on specific technologies  author will overview bidirectional relationships between two of the most promising technologies nowadays namely  blockchain and machine learning    2020  springer nature switzerland ag ,cross fertilization in software engineering,colomopalaciosr
the application of an anp fuzzy comprehensive evaluation model to assess lean construction management performance,Li X.K.; Wang X.M.; Lei L.,10.1108/ECAM-01-2019-0020,2020,purpose  the purpose of this paper is to propose a method for assessing the lean construction management performance  lcmp  of engineering projects using the analytic network process fuzzy comprehensive evaluation  anp fce  model  design methodology approach  literature review and questionnaire surveys were used to achieve an evaluation index system for lcmp  the data needed to calculate the weights of the indices were derived from questionnaire surveys  the anp and the super decisions  sd  software were used to calculate the weights of the indices and verify the validity of the weights  the fce was adopted to carry out a comprehensive evaluation of lcmp  and the validity of the evaluation results was verified by applying the validity degree of maximum membership principle  the applicability of the method for evaluating lcmp was validated by empirical research  findings  the proposed method for assessing the lcmp using the anp fce model is validated to be feasible  decision makers can easily identify the strengths and weaknesses of lean construction  lc  management of the evaluated project from the evaluation results  research limitations implications  some subjectivity may exist in the assessment process due to questionnaire surveys  and only one case has been studied to validate the applicability of the method  therefore  researchers are encouraged to increase the number of lc experts and cases over the world to make the proposed method more standard  practical implications  the research is expected to propose an assessment method of lcmp for construction enterprises  provide a reference to develop assessment standards for lcmp for building associations or governments and help decision makers know the improving path of lc management  originality value  this research contributes to the literature by summarizing the commonly used lean management tools for quality  cost  time  safety and organization in practice  and proposing a novel approach for assessing the lcmp of engineering projects  the study is useful for researchers  project managers and decision makers engaged in lc    2019  emerald publishing limited ,the application of an anpfuzzy comprehensive evaluation model to assess lean construction management performance,lleiliwangxkxm
26th international joint conference on industrial engineering and operations management  ijcieom 2020,,,2020,the proceedings contain 52 papers  the special focus in this conference is on industrial engineering and operations management  the topics include  economic production quantity model considering items with distinct levels of imperfection  food security  location of assistance entities in poverty zones  emotions and the purchase decision processes of green products  an exploratory study with consumption emotions set scale  ces  prioritization of critical factors for the improvement in the visual daily shop floor management in manufacturing using ahp a case study  economic production quantity for products with deterioration and shortage under advanced cash credit payment scheme  sustainable by accident  an analysis of the development of the brazilian electricity sector  supplier in the supply chain  a bibliometric analysis  success critical factors on the civil construction projects management  utilizing artificial neural networks  production planning and control in industry 4 0  maintenance or breakdown of the principles and fundamentals  lean office in the monitoring of public building works  life cycle assessment  lca  photovoltaic solar energy  a bibliometric literature review  analysing plastic cups use  a psychological approach  barriers to the diffusion of renewable energies  literature review  organizational performances of distributed generation in brazil electric utilities  a balanced scorecard perspective  preface  selecting distribution centers in disaster management by network analysis and composition of probabilistic preferences  epq model with partial backordering considering environmental aspects and stochastic demand  sustainability in logistics systems and its impact on the level of services definition  an exploratory analysis using structural equation modeling  supply chain management practices in small enterprises  a practical implementation guidance ,26th international joint conference on industrial engineering and operations management ijcieom 2020,
speech acts based analysis for requirements discovery from online discussions,Morales-Ramirez I.; Kifetew F.M.; Perini A.,10.1016/j.is.2018.08.003,2019,online discussions about software applications and services that take place on web based communication platforms represent an invaluable knowledge source for diverse software engineering tasks  including requirements elicitation  the amount of research work on developing effective tool supported analysis methods is rapidly increasing  as part of the so called software analytics  textual messages in app store reviews  tweets  online discussions taking place in mailing lists and user forums  are processed by combining natural language techniques to filter out irrelevant data  text mining and machine learning algorithms to classify messages into different categories  such as bug report and feature request  our research objective is to exploit a linguistic technique based on speech acts for the analysis of online discussions with the ultimate goal of discovering requirements relevant information  in this paper  we present a revised and extended version of the speech acts based analysis technique  which we previously presented at caise 2017  together with a detailed experimental characterisation of its properties  datasets used in the experimental evaluation are taken from a widely used open source software project  161120 textual comments  as well as from an industrial project in the home energy management domain  we make them available for experiment replication purposes  on these datasets  our approach is able to successfully classify messages into feature enhancement and other  with f measure of 0 81 and 0 84 respectively  we also found evidence that there is an association between types of speech acts and categories of issues  and that there is correlation between some of the speech acts and issue priority  thus motivating further research on the exploitation of our speech acts based analysis technique in semi automated multi criteria requirements prioritisation    2018 elsevier ltd,speechacts based analysis for requirements discovery from online discussions,afmikifetewmoralesramirezperini
8th world conference on information systems and technologies  worldcist 2020,,,2020,the proceedings contain 135 papers  the special focus in this conference is on information systems and technologies  the topics include  improving project management practices in a software development team  integrated model of knowledge management and innovation  trust and reputation smart contracts for explainable recommendations  predicting an election s outcome using sentiment analysis  data science in pharmaceutical industry  dicom metadata quality analysis for mammography radiation exposure characterization  the use of social media in the recruitment process  complex human emotions in alzheimer s interviews  first steps  contribution of social tagging to clustering effectiveness using as interpretant the user s community  a dynamic approach for template and content extraction in websites  nutrisem  a semantics driven approach to calculating nutritional value of recipes  using machine learning models to predict the length of stay in a hospital setting  prediction of length of stay for stroke patients using artificial neural networks  artificial intelligence in service delivery systems  a systematic literature review  benefits of implementing marketing automation in recruitment  data fusion model from coupling ontologies and clinical reports to guide medical diagnosis process  computational analysis of a literary work in the context of its spatiality  data extraction and preprocessing for automated question answering based on knowledge graphs  ontology learning approach based on analysis of the context and metadata of a weakly structured content  paving the way for it governance in the public sector  analysis of factors affecting backers  fundraising on reward based crowdfunding  ict and big data adoption in smes from rural areas  comparison between portugal  spain and russia  logic based smart contracts ,8th world conference on information systems and technologies worldcist 2020,
proceedings of the 15th international conference on business information systems 2020  developments  opportunities and challenges of digitization  wirtschaftsinformatik 2020,,,2020,the proceedings contain 130 papers  the topics discussed include  user experience of creativity support tools   a literature review in a management context  oracle or teacher  a systematic overview of research on interactive labeling for machine learning  a moral consensus mechanism for autonomous driving  towards a law compliant basis of logic programming  developing purposeful ai use cases   a structured method and its application in project management  opening the black box  how to design intelligent decision support systems for crowdsourcing  design patterns based on deep learning analyzing distributed data  hybrid teamwork  consideration of teamwork concepts to reach naturalistic interaction between humans and conversational agents  trust in smart personal assistants  a systematic literature review and development of a research agenda  and using cnns to detect graphical representations of structural equation models in is papers ,proceedings of the 15th international conference on business information systems 2020 developments opportunities and challenges of digitization wirtschaftsinformatik 2020,
a systematic approach for public private partnership projects csfs evaluation,Wang L.; Zhang P.; Zhang P.; Li R.; Zhang Y.; Wu Y.,10.1108/ECAM-05-2017-0083,2018,purpose  public private partnership  ppp  projects are increasingly significant in many countries  the purpose of this paper is to assess the impact of critical success factors  csfs  on ppp projects and comprehensively consider the interrelations and interaction among dimensions and factors to achieve a better understanding of ppp project management  design methodology approach  an evaluation index system for ppp projects such as the presented case study is proposed based on a literature review and a survey  then  interpretative structural modeling is used to transform the csfs dimension into a multi level hierarchical model to reflect the driven dependency relation of each dimension  the fuzzy analytic network process model optimized by moment estimation theory is used to investigate the impact of csfs by considering their internal impact  findings  regarding the project used as the case study  the driving force and dependence for driving layer and dependent layer are determined  moreover  in driving layer  efficient and well structured payment mechanism is the most important csf if considering the internship and interaction among csfs  and efficient and well structured payment mechanism and good governance provide most positive interaction  in dependent layer  population of beneficiaries is the most important csf if considering the internship and interaction among csfs  and public client s satisfaction provides most positive interaction  originality value  this paper developed an evaluation model to explore the interrelationships of dimensions and factors and then determine the impact of csfs  the model propose in this paper relaxes the independence assumptions of traditional methods and is more in line with reality  besides  weighting method is optimized to obtain more objective and reasonable evaluation results  through an empirical study  the validity of the model has been verified  therefore  the study can help project stakeholders better understand the csfs and further improve project performance    2018  emerald publishing limited ,a systematic approach for publicprivate partnership projects csfs evaluation,llipprwangwuyyzhangzhangzhang
the use of system dynamics model to enhance integrated resources planning implementation,Gastelum J.R.; Krishnamurthy G.; Ochoa N.; Sibbett S.; Armstrong M.; Kalaria P.,10.1007/s11269-018-1926-4,2018,elsinore valley municipal water district  evmwd  like many other water agencies in southern california  relies heavily on imported water supply  the uncertainty associated with reliable imported water supplies due to drought conditions and climate change  and the increasing cost of imported water are areas of concern for evmwd  considering these conditions  evmwd  which serves one of the fastest growing regions within riverside county  embarked upon the development of its first integrated resources plan  irp    a long term strategy for providing reliable water supplies to its growing customer base  the irp s evaluation methodology consists of three steps  identification of potential water supply projects  project evaluation  and recommendation of a water supply portfolio comprised of the specific projects  a system dynamics  sd  water resources decision support system  wrdss  was used to evaluate different scenarios and examine evmwd s vulnerability to risks such as water supply shortage  and changes to water quality and or water demand projections  even though sd has been extensively applied to many water resources planning modeling efforts  based on our literature review  there is not a documented case of sd modeling applied to an irp project  the recommended water supply portfolio represents the most cost effective option  it meets the forecasted long term deficit and provides the best reliability while providing good quality water supplies to evmwd s customers  the recommended water supply portfolio will be implemented using an adaptive management approach to adjust to changing conditions  coupled with long range resource management policies that optimize water supply and storage assets in times of both drought and surplus    2018  springer science business media b v  part of springer nature ,the use of system dynamics model to enhance integrated resources planning implementation,armstrongggastelumjrkalariakrishnamurthymnochoapssibbett
world conference on information systems and technologies  worldcist 2019,,,2019,the proceedings contain 238 papers  the special focus in this conference is on information systems and technologies  the topics include  improvement of industrialization projects management  an automotive industry case study  a digital strategy for smes in the retail business that allows the increase of sales  multi split hdfs technique for improving data confidentiality in big data replication  social media  evolutionary psychology  and isis  a literature review and future research directions  improvement of the applicability of the general data protection regulation in health clinics  the use of linkedin for ict recruitment  the role of technologies  creating a new labour market  hybrid machine translation oriented to cross language information retrieval  english spanish error analysis  fake news and social networks  how users interact with fake content  the four major factors impacting on the future of work  what will the future bring  the impact of automation on skills and  un employment  ambient assisted living   a bibliometric analysis  a taboo search algorithm for 3d binpacking problem in containers  artificial intelligence in government services  a systematic literature review  ontology driven feedforward risk management  incremental hotel recommendation with inter guest trust and similarity post filtering  traffic flow forecasting on data scarce environments using arima and lstm networks  mapping clinical practice guidelines to swrl rules  towards the automatic construction of an intelligent tutoring system  domain module  deep learning and sub word unit approach in written art generation  the future of the digital workforce  current and future challenges for executive and administrative assistants  toward a knowledge sharing aimed virtual enterprise  towards the digital transformation  are portuguese organizations in this way ,world conference on information systems and technologies worldcist 2019,
